,min_x,min_y,max_x,max_y
250,117.8625,-16.9276,118.6625,-16.1276
251,117.8625,-16.1276,118.6625,-15.3276
252,117.8625,-15.3276,118.6625,-14.5276
253,117.8625,-14.5276,118.6625,-13.7276
254,117.8625,-13.7276,118.6625,-12.9276
255,117.8625,-12.9276,118.6625,-12.1276
256,117.8625,-12.1276,118.6625,-11.3276
257,117.8625,-11.3276,118.6625,-10.5276
258,117.8625,-10.5276,118.6625,-9.7276
259,118.6625,-39.3276,119.4625,-38.5276
260,118.6625,-38.5276,119.4625,-37.7276
261,118.6625,-37.7276,119.4625,-36.9276
262,118.6625,-36.9276,119.4625,-36.1276
263,118.6625,-36.1276,119.4625,-35.3276
264,118.6625,-35.3276,119.4625,-34.5276
265,118.6625,-34.5276,119.4625,-33.7276
266,118.6625,-33.7276,119.4625,-32.9276
267,118.6625,-32.9276,119.4625,-32.1276
268,118.6625,-32.1276,119.4625,-31.3276
269,118.6625,-31.3276,119.4625,-30.5276
270,118.6625,-30.5276,119.4625,-29.7276
271,118.6625,-29.7276,119.4625,-28.9276
272,118.6625,-28.9276,119.4625,-28.1276
273,118.6625,-28.1276,119.4625,-27.3276
274,118.6625,-27.3276,119.4625,-26.5276
275,118.6625,-26.5276,119.4625,-25.7276
276,118.6625,-25.7276,119.4625,-24.9276
277,118.6625,-24.9276,119.4625,-24.1276
278,118.6625,-24.1276,119.4625,-23.3276
279,118.6625,-23.3276,119.4625,-22.5276
280,118.6625,-22.5276,119.4625,-21.7276
281,118.6625,-21.7276,119.4625,-20.9276
282,118.6625,-20.9276,119.4625,-20.1276
283,118.6625,-20.1276,119.4625,-19.3276
284,118.6625,-19.3276,119.4625,-18.5276
285,118.6625,-18.5276,119.4625,-17.7276
286,118.6625,-17.7276,119.4625,-16.9276
287,118.6625,-16.9276,119.4625,-16.1276
288,118.6625,-16.1276,119.4625,-15.3276
289,118.6625,-15.3276,119.4625,-14.5276
290,118.6625,-14.5276,119.4625,-13.7276
291,118.6625,-13.7276,119.4625,-12.9276
292,118.6625,-12.9276,119.4625,-12.1276
293,118.6625,-12.1276,119.4625,-11.3276
294,118.6625,-11.3276,119.4625,-10.5276
295,118.6625,-10.5276,119.4625,-9.7276
296,119.4625,-39.3276,120.2625,-38.5276
297,119.4625,-38.5276,120.2625,-37.7276
298,119.4625,-37.7276,120.2625,-36.9276
299,119.4625,-36.9276,120.2625,-36.1276
300,119.4625,-36.1276,120.2625,-35.3276
301,119.4625,-35.3276,120.2625,-34.5276
302,119.4625,-34.5276,120.2625,-33.7276
303,119.4625,-33.7276,120.2625,-32.9276
304,119.4625,-32.9276,120.2625,-32.1276
305,119.4625,-32.1276,120.2625,-31.3276
306,119.4625,-31.3276,120.2625,-30.5276
307,119.4625,-30.5276,120.2625,-29.7276
308,119.4625,-29.7276,120.2625,-28.9276
309,119.4625,-28.9276,120.2625,-28.1276
310,119.4625,-28.1276,120.2625,-27.3276
311,119.4625,-27.3276,120.2625,-26.5276
312,119.4625,-26.5276,120.2625,-25.7276
313,119.4625,-25.7276,120.2625,-24.9276
314,119.4625,-24.9276,120.2625,-24.1276
315,119.4625,-24.1276,120.2625,-23.3276
316,119.4625,-23.3276,120.2625,-22.5276
317,119.4625,-22.5276,120.2625,-21.7276
318,119.4625,-21.7276,120.2625,-20.9276
319,119.4625,-20.9276,120.2625,-20.1276
320,119.4625,-20.1276,120.2625,-19.3276
321,119.4625,-19.3276,120.2625,-18.5276
322,119.4625,-18.5276,120.2625,-17.7276
323,119.4625,-17.7276,120.2625,-16.9276
324,119.4625,-16.9276,120.2625,-16.1276
325,119.4625,-16.1276,120.2625,-15.3276
326,119.4625,-15.3276,120.2625,-14.5276
327,119.4625,-14.5276,120.2625,-13.7276
328,119.4625,-13.7276,120.2625,-12.9276
329,119.4625,-12.9276,120.2625,-12.1276
330,119.4625,-12.1276,120.2625,-11.3276
331,119.4625,-11.3276,120.2625,-10.5276
332,119.4625,-10.5276,120.2625,-9.7276
333,120.2625,-39.3276,121.0625,-38.5276
334,120.2625,-38.5276,121.0625,-37.7276
335,120.2625,-37.7276,121.0625,-36.9276
336,120.2625,-36.9276,121.0625,-36.1276
337,120.2625,-36.1276,121.0625,-35.3276
338,120.2625,-35.3276,121.0625,-34.5276
339,120.2625,-34.5276,121.0625,-33.7276
340,120.2625,-33.7276,121.0625,-32.9276
341,120.2625,-32.9276,121.0625,-32.1276
342,120.2625,-32.1276,121.0625,-31.3276
343,120.2625,-31.3276,121.0625,-30.5276
344,120.2625,-30.5276,121.0625,-29.7276
345,120.2625,-29.7276,121.0625,-28.9276
346,120.2625,-28.9276,121.0625,-28.1276
347,120.2625,-28.1276,121.0625,-27.3276
348,120.2625,-27.3276,121.0625,-26.5276
349,120.2625,-26.5276,121.0625,-25.7276
350,120.2625,-25.7276,121.0625,-24.9276
351,120.2625,-24.9276,121.0625,-24.1276
352,120.2625,-24.1276,121.0625,-23.3276
353,120.2625,-23.3276,121.0625,-22.5276
354,120.2625,-22.5276,121.0625,-21.7276
355,120.2625,-21.7276,121.0625,-20.9276
356,120.2625,-20.9276,121.0625,-20.1276
357,120.2625,-20.1276,121.0625,-19.3276
358,120.2625,-19.3276,121.0625,-18.5276
359,120.2625,-18.5276,121.0625,-17.7276
360,120.2625,-17.7276,121.0625,-16.9276
361,120.2625,-16.9276,121.0625,-16.1276
362,120.2625,-16.1276,121.0625,-15.3276
363,120.2625,-15.3276,121.0625,-14.5276
364,120.2625,-14.5276,121.0625,-13.7276
365,120.2625,-13.7276,121.0625,-12.9276
366,120.2625,-12.9276,121.0625,-12.1276
367,120.2625,-12.1276,121.0625,-11.3276
368,120.2625,-11.3276,121.0625,-10.5276
369,120.2625,-10.5276,121.0625,-9.7276
370,121.0625,-39.3276,121.8625,-38.5276
